County,Route,Special Case,County Sequence,Beginning Log Mile,Ending Log Mile,Log Mile Length,Year of Traffic,Annual Average Daily Traffic,Vehicle Miles Traveled,Design Hourly Volume Percent,Directional Distribution,Vehicle - Passenger Pickups,Vehicle - Single Unit Trucks,Vehicle - Multiple Unit Trucks,ID Number,Station Number,TN-TIMES ID,% Peak Single Unit,% Peak Multi Unit,OBJECTID,Shape__Length
Fayette,SR059,0,1,0,3.79,3.79,2023,2636,9990.44,8,65,90,3,7,24SR059001,4,24000004,3.133,5.343,257,19986.5407194943
Fayette,SR059,0,1,3.79,6.07,2.28,2023,3142,7163.76,9,65,90,3,7,24SR059001,110,24000110,3.133,5.343,258,12089.5043557266
Fayette,SR059,0,1,6.07,13.05,6.98,2023,2049,14302.02,14,77,88,3,9,24SR059001,19,24000019,2.867,12.545,259,36837.8535432176
Fayette,SR059,0,1,13.05,14.31,1.26,2023,4270,5380.2,13,65,90,3,7,24SR059001,105,24000105,3.133,5.343,260,6644.67043424063
Lincoln,SR275,0,1,7.16,11.63,4.47,2023,494,2208.18,9,65,96,2,2,52SR275001,63,52000063,2.476,1.484,261,23670.2855597872
Lincoln,SR275,0,1,12.24,14.19,1.95,2023,2139,4171.05,12,65,95,3,2,52SR275001,115,52000115,2.476,1.484,262,10246.178371425
Lincoln,SR110,0,1,8.61,12.12,3.51,2023,1656,5812.56,9,65,95,3,2,52SR110001,71,52000071,2.476,1.484,263,18621.4992096078
McNairy,SR005,0,1,0,4.68,4.68,2023,10129,47403.72,8,61,88,4,8,55SR005001,106,55000106,3.961,6.188,264,24728.3576641127
McNairy,SR005,0,1,5.86,10.5,4.64,2023,12379,57438.56,8,52,88,4,8,55SR005001,79,55000079,3.132,17.223,265,24519.3014624173
Fayette,SR195,0,1,0,2.45,2.45,2023,925,2266.25,10,65,95,2,3,24SR195001,83,24000083,2.849,3.585,266,12977.5510059589
Fayette,SR195,0,1,2.45,7.61,5.16,2023,2137,11026.92,9,65,95,2,3,24SR195001,45,24000045,2.326,0,267,27313.9934137049
