State,County,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle GVWR Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
"TN","Shelby County","3/1/2020","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",23,5,"DMV Snpashot (3/31/2020)",False
"TN","Shelby County","6/1/2020","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",22,6,"DMV Snpashot (6/30/2020)",False
"TN","Shelby County","9/1/2022","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",37,15,"DMV Snapshot (9/30/2022)",False
"TN","Shelby County","3/1/2019","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",8,1,"DMV Snpashot (3/31/2019)",False
"TN","Shelby County","9/1/2019","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",13,3,"DMV Snpashot (9/30/2019)",False
"TN","Shelby County","6/1/2019","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",10,2,"DMV Snpashot (6/30/2019)",False
"TN","Shelby County","6/1/2021","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",31,10,"DMV Snpashot (6/30/2021)",False
"TN","Shelby County","9/1/2023","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",37,19,"DMV Snapshot (9/30/2023)",False
"TN","Shelby County","9/1/2021","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",33,11,"DMV Snpashot (9/30/2021)",False
"TN","Shelby County","12/1/2021","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",32,12,"DMV Snpashot (12/31/2021)",False
"TN","Shelby County","9/1/2024","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",39,23,"DMV Snapshot (9/30/2024)",True
"TN","Shelby County","3/1/2023","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",34,17,"DMV Snapshot (3/31/2023)",False
"TN","Shelby County","12/1/2022","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",32,16,"DMV Snapshot (12/31/2022)",False
"TN","Shelby County","6/1/2022","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",31,14,"DMV Snpashot (6/30/2022)",False
"TN","Shelby County","9/1/2024","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",9,23,"DMV Snapshot (9/30/2024)",True
"TN","Shelby County","12/1/2021","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",11,12,"DMV Snpashot (12/31/2021)",False
"TN","Shelby County","3/1/2021","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",12,9,"DMV Snpashot (3/31/2021)",False
"TN","Shelby County","6/1/2024","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",9,22,"DMV Snapshot (6/30/2024)",False
"TN","Shelby County","9/1/2020","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",9,7,"DMV Snpashot (9/30/2020)",False
"TN","Shelby County","9/1/2022","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",8,15,"DMV Snapshot (9/30/2022)",False
"TN","Shelby County","12/1/2020","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",9,8,"DMV Snpashot (12/31/2020)",False
"TN","Shelby County","6/1/2023","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",7,18,"DMV Snapshot (6/30/2023)",False
"TN","Shelby County","3/1/2020","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",7,5,"DMV Snpashot (3/31/2020)",False
"TN","Shelby County","12/1/2023","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",7,20,"DMV Snapshot (12/31/2023)",False
"TN","Shelby County","9/1/2021","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",12,11,"DMV Snpashot (9/30/2021)",False
"TN","Shelby County","12/1/2022","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",9,16,"DMV Snapshot (12/31/2022)",False
"TN","Shelby County","9/1/2023","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",7,19,"DMV Snapshot (9/30/2023)",False
"TN","Shelby County","3/1/2024","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",7,21,"DMV Snapshot (3/31/2024)",False
"TN","Shelby County","6/1/2022","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",9,14,"DMV Snpashot (6/30/2022)",False
"TN","Shelby County","3/1/2022","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",11,13,"DMV Snpashot (3/31/2022)",False
"TN","Shelby County","12/1/2019","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",7,4,"DMV Snpashot (12/31/2019)",False
"TN","Shelby County","6/1/2021","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",9,10,"DMV Snpashot (6/30/2021)",False
"TN","Shelby County","9/1/2019","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",6,3,"DMV Snpashot (9/30/2019)",False
"TN","Shelby County","3/1/2023","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",9,17,"DMV Snapshot (3/31/2023)",False
"TN","Shelby County","6/1/2020","TESLA","MODEL S","2019","BEV","1","Light-Duty (Class 1-2A)",8,6,"DMV Snpashot (6/30/2020)",False
"TN","Shelby County","9/1/2022","TESLA","MODEL S","2020","BEV","1","Light-Duty (Class 1-2A)",5,15,"DMV Snapshot (9/30/2022)",False
"TN","Shelby County","6/1/2023","TESLA","MODEL S","2020","BEV","1","Light-Duty (Class 1-2A)",5,18,"DMV Snapshot (6/30/2023)",False
"TN","Shelby County","3/1/2024","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",6,21,"DMV Snapshot (3/31/2024)",False
"TN","Shelby County","9/1/2021","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",6,11,"DMV Snpashot (9/30/2021)",False
"TN","Shelby County","12/1/2023","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",7,20,"DMV Snapshot (12/31/2023)",False
"TN","Shelby County","3/1/2020","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",6,5,"DMV Snpashot (3/31/2020)",False
"TN","Shelby County","6/1/2019","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",8,2,"DMV Snpashot (6/30/2019)",False
"TN","Shelby County","3/1/2019","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",9,1,"DMV Snpashot (3/31/2019)",False
"TN","Shelby County","6/1/2022","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",9,14,"DMV Snpashot (6/30/2022)",False
"TN","Shelby County","6/1/2021","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",5,10,"DMV Snpashot (6/30/2021)",False
"TN","Shelby County","3/1/2021","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",5,9,"DMV Snpashot (3/31/2021)",False
"TN","Shelby County","6/1/2023","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",7,18,"DMV Snapshot (6/30/2023)",False
"TN","Shelby County","3/1/2022","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",6,13,"DMV Snpashot (3/31/2022)",False
"TN","Shelby County","12/1/2020","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",7,8,"DMV Snpashot (12/31/2020)",False
"TN","Shelby County","12/1/2021","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",8,12,"DMV Snpashot (12/31/2021)",False
"TN","Shelby County","6/1/2024","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",7,22,"DMV Snapshot (6/30/2024)",False
"TN","Shelby County","12/1/2022","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",6,16,"DMV Snapshot (12/31/2022)",False
"TN","Shelby County","9/1/2022","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",7,15,"DMV Snapshot (9/30/2022)",False
"TN","Shelby County","12/1/2019","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",8,4,"DMV Snpashot (12/31/2019)",False
"TN","Shelby County","9/1/2023","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",6,19,"DMV Snapshot (9/30/2023)",False
"TN","Shelby County","9/1/2024","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",7,23,"DMV Snapshot (9/30/2024)",True
